reviewid,electronic,experimental,folk/country,global,jazz,metal,pop/r&b,rap,rock,unknown
664,0,1,0,0,1,0,0,0,0,0
665,0,1,0,0,1,0,0,0,0,0
667,0,0,0,0,0,0,0,0,1,0
669,0,0,0,0,0,0,0,0,1,0
671,0,0,0,0,0,0,0,0,1,0
672,0,0,0,0,0,0,0,0,1,0
673,0,0,0,0,0,0,0,0,1,0
674,0,0,0,0,0,0,0,0,1,0
676,0,0,0,0,0,0,0,0,1,0
677,0,0,0,0,0,0,0,0,1,0
678,0,0,0,0,0,0,0,0,1,0
680,0,0,0,0,0,0,0,0,1,0
681,1,0,0,0,0,0,0,0,1,0
682,0,0,0,0,0,0,0,0,1,0
683,0,0,0,0,0,0,0,0,1,0
684,0,0,0,0,0,0,0,0,1,0
685,0,0,0,0,0,0,0,0,1,0
686,0,0,0,0,0,0,0,0,1,0
687,0,0,0,0,0,1,0,0,1,0
688,0,0,0,0,0,1,0,0,1,0
691,0,1,0,0,0,1,0,0,1,0
692,0,0,0,0,0,0,1,0,0,0
693,0,0,0,0,0,0,1,0,0,0
696,0,0,0,0,0,0,0,0,1,0
697,0,0,0,0,0,0,0,0,0,1
698,0,0,1,0,0,0,0,0,0,0
699,0,0,1,0,0,0,0,0,0,0
700,0,0,1,0,0,0,0,0,0,0
701,0,0,1,0,0,0,0,0,0,0
702,0,0,1,0,0,0,0,0,0,0
703,0,0,0,0,0,0,0,0,0,1
704,0,0,1,0,0,0,0,0,0,0
705,0,1,1,0,0,0,0,0,1,0
707,0,0,0,0,0,0,0,0,0,1
709,0,1,0,0,0,0,0,0,0,0
710,0,1,0,0,0,0,0,0,0,0
713,0,0,0,0,0,0,0,0,1,0
714,0,0,0,0,0,0,0,0,1,0
715,0,0,0,0,0,0,0,0,1,0
716,0,0,0,0,0,0,0,0,1,0
717,0,0,0,0,0,0,0,0,1,0
718,0,0,0,0,0,0,0,0,0,1
722,0,0,0,0,0,0,1,0,0,0
724,0,0,0,0,0,0,1,0,0,0
725,0,0,0,0,0,0,1,0,0,0
726,1,0,0,0,0,0,0,0,1,0
727,1,0,0,0,0,0,1,0,0,0
729,1,0,0,0,0,0,1,0,0,0
737,1,0,0,0,0,0,1,0,0,0
738,0,0,0,0,0,0,0,0,0,1
739,1,0,0,0,0,0,1,0,0,0
740,0,0,0,0,0,0,1,0,0,0
741,0,0,0,0,0,0,1,0,0,0
742,0,0,0,0,0,0,1,0,0,0
743,0,0,0,0,0,0,1,0,0,0
744,0,0,0,0,0,0,0,0,0,1
745,0,1,0,0,0,0,0,0,1,0
746,0,1,0,0,0,0,0,0,1,0
748,0,1,0,0,0,0,0,0,1,0
749,0,0,0,0,0,0,0,0,0,1
750,0,1,0,0,0,0,0,0,1,0
751,0,1,0,0,0,0,0,0,1,0
752,0,1,0,0,0,0,0,0,1,0
753,0,0,0,0,0,0,0,0,0,1
755,0,0,0,0,0,0,0,0,1,0
756,0,0,0,0,0,0,0,0,1,0
757,1,1,0,0,0,1,0,0,1,0
758,1,1,0,0,0,1,0,0,1,0
762,0,0,0,0,0,0,0,0,1,0
763,0,0,0,0,0,0,0,0,1,0
765,0,0,0,0,0,0,0,0,1,0
766,0,0,0,0,0,0,0,0,1,0
767,0,0,0,0,0,0,0,0,1,0
769,0,0,0,0,0,0,0,0,1,0
770,0,0,0,0,0,0,0,0,1,0
771,1,0,0,0,0,0,0,0,1,0
773,1,0,0,0,0,0,0,0,1,0
775,0,0,0,0,0,1,0,0,1,0
777,0,0,0,0,0,0,0,0,1,0
779,0,0,0,0,0,0,0,0,1,0
781,0,0,0,0,0,0,0,0,1,0
783,0,0,0,0,0,0,0,0,1,0
784,0,0,0,0,0,0,0,0,1,0
785,0,0,0,0,0,0,0,0,1,0
786,0,0,0,0,1,0,0,0,0,0
787,0,0,0,0,0,0,0,1,0,0
788,0,0,0,0,0,0,0,1,0,0
789,0,0,0,0,0,0,0,0,1,0
793,0,0,0,0,0,0,0,0,1,0
794,0,0,0,0,0,0,0,0,1,0
795,0,0,1,0,0,0,0,0,0,0
796,1,0,0,0,0,0,0,0,0,0
797,1,0,0,0,0,0,0,0,0,0
798,1,0,0,0,0,0,0,0,0,0
801,0,1,0,0,0,0,0,0,1,0
802,0,1,0,0,0,0,0,0,1,0
803,1,0,0,0,0,0,0,0,0,0
804,0,0,0,0,0,0,0,0,1,0
805,0,0,0,0,0,0,0,0,1,0
807,0,0,0,0,0,0,0,0,1,0
809,0,0,0,0,0,0,0,0,0,1
810,0,0,0,0,0,0,0,0,1,0
811,0,0,0,0,0,0,0,0,1,0
812,0,0,0,0,0,0,1,0,0,0
813,0,0,0,0,0,0,1,0,0,0
823,0,0,0,0,0,0,0,0,1,0
824,0,0,0,0,0,0,0,0,1,0
826,1,0,0,0,0,0,0,0,0,0
827,1,0,0,0,0,0,0,0,0,0
828,0,0,0,0,0,0,0,0,1,0
830,0,0,0,0,0,0,0,0,1,0
831,0,0,0,0,0,0,0,0,1,0
833,1,0,0,0,0,0,0,0,0,0
835,1,0,0,0,0,0,0,0,0,0
837,1,0,0,0,0,0,0,0,0,0
838,1,0,0,0,0,0,0,0,0,0
839,1,0,0,0,0,0,0,0,0,0
840,1,0,0,0,0,0,1,0,0,0
846,0,0,0,0,0,0,0,0,0,1
847,1,0,0,0,0,0,0,0,1,0
853,1,0,0,0,1,0,0,0,0,0
854,0,1,0,0,0,0,0,0,1,0
855,0,1,0,0,0,0,0,0,1,0
856,0,1,0,0,0,0,0,0,1,0
857,0,1,0,0,0,0,0,0,1,0
858,1,0,0,0,0,0,0,1,0,0
859,1,0,0,0,0,0,0,1,0,0
860,1,0,0,0,0,0,0,1,0,0
862,0,0,0,0,0,0,0,1,0,0
863,0,1,0,0,0,0,0,0,0,0
865,0,1,0,0,0,0,0,0,0,0
872,0,0,0,0,0,0,0,0,0,1
873,0,0,1,0,0,0,0,0,0,0
874,0,0,1,0,0,0,0,0,0,0
876,0,0,0,0,0,1,0,0,0,0
880,0,0,0,0,0,0,0,0,1,0
881,0,0,0,0,0,0,0,0,1,0
882,0,0,0,0,0,0,0,0,1,0
891,1,0,0,0,0,0,0,0,0,0
892,1,0,0,0,0,0,0,0,1,0
894,1,0,0,0,0,0,0,0,1,0
896,0,0,0,0,0,0,0,0,0,1
898,0,0,0,0,0,0,0,0,1,0
899,0,0,0,0,0,0,0,0,1,0
902,0,0,0,0,0,0,0,0,1,0
904,0,0,0,0,0,0,0,0,1,0
905,0,0,0,0,0,1,0,0,1,0
909,0,1,0,0,0,0,0,0,1,0
910,0,1,0,0,0,0,0,0,1,0
912,0,0,0,0,0,0,0,0,1,0
913,0,0,0,0,0,0,0,0,1,0
917,0,0,0,0,0,0,1,0,0,0
919,0,0,0,0,0,0,0,0,1,0
921,1,0,0,0,0,0,0,0,0,0
923,0,1,0,0,0,0,0,0,1,0
927,0,0,0,0,0,0,0,0,1,0
928,0,0,0,0,0,0,0,0,1,0
929,0,0,0,0,0,0,0,0,1,0
932,0,1,0,0,0,0,0,0,1,0
935,1,0,0,0,0,0,0,0,1,0
936,0,0,0,0,0,0,0,0,1,0
937,0,0,0,0,0,0,0,0,1,0
940,0,0,0,0,0,0,0,0,1,0
941,0,0,0,0,0,0,0,0,1,0
942,0,0,0,0,0,0,0,0,1,0
945,0,0,0,0,0,0,0,0,1,0
946,1,0,0,0,0,0,0,0,0,0
947,1,0,0,0,0,0,0,0,0,0
948,1,0,0,0,0,0,0,0,0,0
949,0,0,0,0,0,0,0,0,0,1
950,0,0,0,0,0,0,0,0,0,1
951,0,0,0,0,0,0,0,0,0,1
952,0,0,0,0,0,0,0,0,1,0
953,0,0,0,0,0,0,0,0,1,0
954,0,0,0,0,0,0,0,0,1,0
955,0,0,0,0,0,0,0,0,1,0
956,1,0,0,0,0,0,0,0,1,0
962,0,0,0,0,0,0,0,0,1,0
963,1,0,0,0,0,0,0,0,0,0
965,0,0,0,0,1,0,0,0,0,0
966,0,1,0,0,1,0,0,0,0,0
967,0,1,0,0,1,0,0,0,0,0
968,0,0,0,0,0,0,0,0,1,0
969,0,0,0,0,0,0,0,0,1,0
970,0,0,0,0,0,0,0,0,1,0
974,0,0,0,0,0,0,0,0,1,0
976,0,0,0,0,0,0,0,0,1,0
977,0,0,0,0,0,0,0,0,0,1
978,0,0,0,0,0,0,0,0,0,1
980,0,0,1,0,0,0,1,0,0,0
981,0,0,0,0,0,0,0,0,1,0
990,0,0,0,0,1,0,0,0,1,0
992,0,0,0,0,0,0,0,0,1,0
993,0,0,0,0,0,0,0,0,1,0
994,0,0,0,0,0,0,0,0,1,0
995,0,0,0,0,0,0,0,0,1,0
996,0,0,0,0,0,0,0,0,0,1
998,0,0,0,0,0,0,0,0,1,0
999,0,0,0,0,0,0,0,0,1,0
1000,0,0,0,0,0,0,0,0,1,0
1001,0,0,0,0,0,0,0,0,0,1
1004,1,0,0,0,0,0,0,0,1,0
1007,1,0,0,0,0,0,0,0,1,0
1011,0,0,0,0,0,0,0,0,1,0
1013,0,0,0,0,0,0,0,0,1,0
1014,0,0,0,0,0,0,0,0,1,0
1015,0,0,0,0,0,0,0,0,1,0
1016,0,0,0,0,0,0,0,0,1,0
1017,1,0,0,0,0,0,1,0,0,0
