reviewid,artist,title,score,author
22300,"kaitlyn aurelia smith, suzanne ciani",sunergy,8.4,jenn pelly
22335,fudge,lady parts,6.8,sheldon pearce
22379,wrekmeister harmonies,light falls,7.7,saby reyes-kulkarni
22360,tim presley,the wink,7.8,laura snapes
22336,nick cave & the bad seeds,skeleton tree,9.0,stuart berman
22283,manuel gttsching,e2-e4,9.2,mark richardson
22303,cristian vogel,the assistenz,7.4,philip sherburne
22306,el perro del mar,kokoro,7.1,benjamin scheim
22396,m.i.a.,aim ,5.9,kevin lozano
22343,neil young,time fades away,9.1,rob mitchum
22305,jhann jhannsson,orphe,7.5,benjamin scheim
22238,various artists,desconstruo,8.3,andy beta
22350,jack white,acoustic recordings 1998-2016,8.0,stuart berman
22356,"steve buscemi, elliott sharp",rub out the word,4.6,saby reyes-kulkarni
22112,alpha 606,afro-cuban electronics,6.5,philip sherburne
22309,adam torres,pearls to swine,7.5,ryan leas
22345,vox clamantis,arvo prt: the deer's cry,7.4,seth colter walls
22255,caetano veloso,caetano veloso,9.4,andy beta
22327,angelo badalamenti,twin peaks ost,9.0,seth colter walls
22288,okkervil river,away,7.0,evan rytlewski
22364,banks & steelz,anything but words,4.4,evan rytlewski
22380,lisa/liza,deserts of youth,8.0,sam sodomsky
22355,wilco,schmilco,7.0,sam sodomsky
22289,daniel lanois,goodbye to language,8.1,philip sherburne
22290,drugdealer,the end of comedy,7.4,colin joyce
22330,james vincent mcmorrow,we move,7.3,sheldon pearce
22361,travis scott,birds in the trap sing mcknight,7.2,matthew strauss
22284,p.s. eliot,2007-2011,8.2,quinn moreland
22354,carly rae jepsen,emotion side b,7.1,brad nelson
22351,inc. no world,as light as light,6.8,renato pagnani
22363,isaiah rashad,the suns tirade ,8.1,sheldon pearce
22281,eluvium,false readings on,7.0,brian howe
22342,circle,circle 1: live in germany concert,8.1,seth colter walls
22352,bibio,the serious ep,6.0,brian howe
22322,zomby,ultra,7.9,philip sherburne
22287,teenage fanclub,here,7.8,sam sodomsky
22344,clipping.,splendor & misery,5.3,mehan jayasuriya
22286,yohuna,patientness,7.2,colin joyce
22212,terry riley,a rainbow in curved air,9.1,seth colter walls
22353,de la soul,and the anonymous nobody...,6.4,nate patrin
22349,mekons,existentialism,7.5,stephen thomas erlewine
22337,nots,cosmetic,7.8,stuart berman
21989,d.a.r.k.,science agrees,6.2,pat healy
22282,angel olsen,my woman,8.8,jenn pelly
22332,junior boys,kiss me all night ep,7.3,cameron cook
22333,serpentwithfeet,blisters,8.0,kevin lozano
22277,william basinski,92982,8.7,kevin lozano
22329,young thug,jeffery,8.5,sheldon pearce
22338,prince,"one nite alone, the aftershow: it ain't over!",8.6,seth colter walls
22341,"soundwalk collective, patti smith, jesse paris smith",killer road,6.6,winston cook-wilson
22271,funk factory,funk factory,7.3,nate patrin
22319,prophets of rage,the party's over ep,2.0,ian cohen
22331,the beach boys,becoming the beach boys: the complete hite & dorinda morgan sessions,5.3,stacey anderson
22325,jon hopkins,opalescent,5.6,kevin lozano
22320,the dead c,trouble,7.3,jason heller
22296,vince staples,prima donna ,8.0,mehan jayasuriya
22243,crystal castles,amnesty (i),6.8,evan rytlewski
22328,porches,water ep,7.5,jonah bromwich
22279,nathan bowles,whole & cloven,7.5,sam sodomsky
22256,cass mccombs,mangy love,8.1,sam sodomsky
22340,"gucci mane, zaytoven",guctiggy ep,6.5,sheldon pearce
22251,subrosa,for this we fought the battle of ages,8.2,grayson haver currin
22257,motion graphics,motion graphics,8.0,philip sherburne
22132,the roots,things fall apart,9.4,marcus j. moore
22254,"katy goodman, greta morgan","take it, its yours",6.7,zoe camp
22252,kornl kovcs,the bells,7.7,philip sherburne
22260,controlled bleeding,larva lumps and baby bumps,7.4,saby reyes-kulkarni
22321,cassius,ibifornia ,5.9,philip sherburne
22280,red pill,instinctive drowning,6.5,jay balfour
22231,feral,nexus,7.4,saby reyes-kulkarni
22311,carl broemel,4th of july,6.3,evan rytlewski
22295,frank ocean,blonde,9.0,ryan dombal
22285,various artists,atomic bomb compilation vol. 4,7.7,patrick st. michel
22249,peter broderick,partners,7.6,saby reyes-kulkarni
22258,battle trance,blade of love,7.5,seth colter walls
22211,tory lanez,i told you,6.3,sheldon pearce
22223,brendan canning,home wrecking years,5.0,pat healy
22276,charlotte day wilson,cdw ep,7.8,dean van nguyen
22237,tokyo black star,"""fantasy live 1999""",7.6,piotr orlov
22273,sharon jones and the dap-kings,miss sharon jones! ost,7.0,nate patrin
22274,tree,i.b. tree,7.7,winston cook-wilson
22241,mild high club,skiptracing,6.8,benjamin scheim
22233,marielle v. jakobsons,star core,7.8,philip sherburne
22248,scott walker,the childhood of a leader ost,7.9,winston cook-wilson
22236,scott hirsch,blue rider songs,8.0,laura snapes
22242,morgan delt,phase zero,6.8,benjamin scheim
22239,"steve lehman, slbyone",slbyone,8.1,seth colter walls
22174,stevie wonder,songs in the key of life,10.0,alan light
22267,ka,honor killed the samurai,8.0,paul a. thompson
22270,"atticus ross, leopold ross, bobby krlic",almost holy ost,7.2,marc masters
22230,jefre cantu-ledesma,in summer,8.0,kevin lozano
22169,rattle,rattle,5.0,laura snapes
22246,dj earl,open your eyes,6.9,andrew gaerig
22272,sonic youth,spinhead sessions,6.4,seth colter walls
22227,various artists,radiating light: orchid tapes & friends,6.7,kevin lozano
22228,the grifters,crappin you negative,7.9,stuart berman
22245,gonjasufi,callus,7.6,nate patrin
22210,atmosphere,fishing blues,5.6,sheldon pearce
22264,fury,paramount,8.0,jason heller
22263,hockey dad,boronia,5.6,pat healy
22265,"kyle dixon, michael stein","stranger things ost, vol. one",8.0,saby reyes-kulkarni
22261,kool a.d.,official,6.4,mehan jayasuriya
22234,lexxi,5tarb01,8.0,thea ballard
22226,alex cameron,jumping the shark,7.8,benjamin scheim
22262,various artists,the get down ost,6.2,vanessa okoth-obbo
22193,partynextdoor,partynextdoor 3 (p3),7.4,renato pagnani
22244,pill,convenience,7.9,nathan reese
22217,mal devisa,kiid,8.1,jenn pelly
22232,lando chill,"for mark, your son",6.0,jonah bromwich
22020,rae sremmurd,sremmlife 2,7.6,sheldon pearce
22215,slow club,one day all of this won't matter any more,7.4,pat healy
22225,roosevelt,roosevelt,7.0,cameron cook
22220,various artists,more better days,8.3,andy beta
22131,pj harvey,dry,9.2,laura snapes
22221,2 chainz,daniel son ; necklace don,7.7,paul a. thompson
22247,the chills,kaleidoscope world,8.2,douglas wolk
22198,ryley walker,golden sings that have been sung,6.5,benjamin scheim
22214,the 7th plain,chronicles 1,7.2,philip sherburne
22185,thee oh sees,a weird exits,7.5,stuart berman
22207,toro y moi,live from trona,6.8,matthew ramirez
22189,factory floor,25 25,6.0,louis pattison
22240,themind,summer camp,7.0,matthew ramirez
22150,of montreal,innocence reaches,6.3,evan rytlewski
22197,dj snake,encore,5.3,matthew schnipper
22213,elvis presley,way down in the jungle room,7.0,stephen thomas erlewine
22208,roman flgel,verschiebung,6.8,philip sherburne
22202,various artists,the land ost,6.1,kris ex
22219,m. geddes gengras,interior architecture,7.0,thea ballard
22206,jon bap,what now?,6.5,mehan jayasuriya
22151,katie dey,flood network,7.8,jazz monroe
22137,various artists,suicide squad: the album,4.0,chris randle
22200,various artists,start your own fucking show space,7.8,sam sodomsky
22216,zhu,generationwhy,4.8,rebecca haithcoat
22209,tobacco,sweatbox dynasty,6.7,nathan reese
22170,kllo,well worn,6.5,philip sherburne
22139,wild beasts,boy king,6.8,laura snapes
22218,noname,telefone,8.0,israel daramola
